guid,expression,meaning,add reverse?,kana,mnemonic,notes,tags
lf0y!xnL;@,お風呂,bath,Y,おふろ,,,"Genki, leech, lesson-6, Nouns"
LtCJ>pOvn_,漢字,kanji; Chinese character,Y,かんじ,,,"Genki, lesson-6, Nouns"
"CU+0Q9<,Dg",教科書,textbook,Y,きょうかしょ,,,"Genki, leech, lesson-6, Nouns"
fN~[z!4d3m,シーディー,CD,Y,,,,"Genki, lesson-6, Nouns"
jFXczS%WAU,シャワー,shower,Y,,,,"Genki, lesson-6, Nouns"
"L|I5cm{<,$",次,next,Y,つぎ,,,"Genki, leech, lesson-6, Nouns"
B9]wI=r+r),電車,train,Y,でんしゃ,,,"Genki, leech, lesson-6, Nouns"
J(zTtiDtPx,荷物,baggage / package,Y,にもつ,,,"Genki, leech, lesson-6, Nouns"
"xVp@T3,U/",パソコン,personal computer,Y,,,,"Genki, lesson-6, Nouns"
tay%f)7|F`,ページ,page,Y,,,,"Genki, lesson-6, Nouns"
"ynLGA;F{,~",窓,window,Y,まど,,,"Genki, lesson-6, Nouns"
N~L(-Ll(5T,夜,night,Y,よる,,,"Genki, lesson-6, Nouns"
ed2{f9)SLf,東口,east exit,Y,ひがしぐち,,,"Genki, Kanji_Practice, lesson-6, 東_and_西"
pWSaeC%U+m,東京,Tokyo,Y,とうきょう,,,"Genki, Japanese::Cities, Kanji_Practice, lesson-6, 東_and_西"
qlrMOnN[gb,関東,Kanto area,Y,かんとう,,,"Genki, Kanji_Practice, lesson-6, 東_and_西"
l[>ni.((b^,東洋,the East,Y,とうよう,,,"Genki, Kanji_Practice, leech, lesson-6, 東_and_西"
bXvZzaXBqX,西口,west exit,Y,にしぐち,,,"Genki, Kanji_Practice, lesson-6, 東_and_西"
E%;is[%Otc,北西,northwest,Y,ほくせい,,,"Genki, Kanji_Practice, leech, lesson-6, 東_and_西"
j1JZ_M3U!Q,関西,Kansai area,Y,かんさい,,,"Genki, Kanji_Practice, lesson-6, 東_and_西"
hXJ4@WHVhc,西洋,the West,Y,せいよう,,,"Genki, Kanji_Practice, leech, lesson-6, 東_and_西"
"M,+,k6WJ;u",大変,tough (situation),Y,たいへん（な）,,Also can be used as 'that was not fun',"Genki, lesson-6, な-adjective_and_U-verbs"
